year,class,rider_id,team_id,entry_name,maker,machine,number,rank,points,status
2009,MotoGP,ben-spies,yamaha-factory,Sterilgarda Yamaha Team,ヤマハ,YZR-M1,,20,9,確認済
2009,MotoGP,yuki-takahashi,jir,Scot Racing Team MotoGP,ホンダ,RC212V,,21,9,確認済
2010,MotoGP,jorge-lorenzo,yamaha-factory,Fiat Yamaha Team,ヤマハ,YZR-M1,,1,383,確認済
2010,MotoGP,dani-pedrosa,honda-hrc,Repsol Honda Team,ホンダ,RC212V,,2,245,確認済
2010,MotoGP,valentino-rossi,yamaha-factory,Fiat Yamaha Team,ヤマハ,YZR-M1,,3,233,確認済
2010,MotoGP,casey-stoner,ducati-lenovo,Ducati Team,ドゥカティ,デスモセディチ,,4,225,確認済
2010,MotoGP,andrea-dovizioso,honda-hrc,Repsol Honda Team,ホンダ,RC212V,,5,206,確認済
2010,MotoGP,ben-spies,tech3,Monster Yamaha Tech 3,ヤマハ,YZR-M1,,6,176,確認済
2010,MotoGP,nicky-hayden,ducati-lenovo,Ducati Team,ドゥカティ,デスモセディチ,,7,163,確認済
2010,MotoGP,marco-simoncelli,gresini,San Carlo Honda Gresini,ホンダ,RC212V,,8,125,確認済
2010,MotoGP,randy-de-puniet,lcr,LCR Honda MotoGP,ホンダ,RC212V,,9,116,確認済
2010,MotoGP,marco-melandri,gresini,San Carlo Honda Gresini,ホンダ,RC212V,,10,103,確認済
2010,MotoGP,colin-edwards,tech3,Monster Yamaha Tech 3,ヤマハ,YZR-M1,,11,103,確認済
2010,MotoGP,hector-barbera,aspar,Páginas Amarillas Aspar,ドゥカティ,デスモセディチ,,12,90,確認済
2010,MotoGP,alvaro-bautista,suzuki-factory,Rizla Suzuki MotoGP,スズキ,GSV-R,,13,85,確認済
2010,MotoGP,aleix-espargaro,pramac,Pramac Racing Team,ドゥカティ,デスモセディチ,,14,65,確認済
2010,MotoGP,hiroshi-aoyama,interwetten,Interwetten Honda MotoGP,ホンダ,RC212V,,15,53,確認済
2010,MotoGP,loris-capirossi,suzuki-factory,Rizla Suzuki MotoGP,スズキ,GSV-R,,16,44,確認済
2010,MotoGP,mika-kallio,pramac,Pramac Racing Team,ドゥカティ,デスモセディチ,,17,43,確認済
2010,MotoGP,alex-de-angelis,interwetten,Interwetten Honda MotoGP,ホンダ,RC212V,,18,11,確認済
